neighbourhood,neighbourhood_cleansed
Acacias/Actipan,Benito Juarez
Alamos,Benito Juarez
Americas Unidos/Del Lago,Benito Juarez
Anzures,Miguel Hidalgo
Asturias,Benito Juarez
Atlampa,Azcapotzalco
Buenavista,Cuauhtemoc
Campestre/Guadalupe Inn,Alvaro Obregon
Centro Historico,Cuauhtemoc
Ciudad de Los Deportes,Benito Juarez
Colonia Cuauhtemoc,Cuauhtemoc
Condesa,Cuauhtemoc
Coyoacan,Coyoacan
Del Valle,Benito Juarez
Doctores,Cuauhtemoc
Escandon,Miguel Hidalgo
Florida/Axotla,Coyoacan
Guerrero,Cuauhtemoc
Hipodromo,Cuauhtemoc
Independencia,Benito Juarez
Insurgentes,Benito Juarez
Juarez,Cuauhtemoc
Letran Valle,Benito Juarez
Morelos,Cuauhtemoc
Napoles,Miguel Hidalgo
Narvarte,Benito Juarez
NiÃ±os Heroes de Chapultepec,Miguel Hidalgo
Nonoalco,Alvaro Obregon
Obrera,Cuauhtemoc
Paulino Navarro/Vista Alegre,Venustiano Carranza
Pedro MarÃ­a Anaya,Benito Juarez
Peralvillo,Cuauhtemoc
Polanco,Miguel Hidalgo
Portales,Benito Juarez
Postal,Benito Juarez
Roma Norte,Cuauhtemoc
Roma Sur,Cuauhtemoc
San Diego Churubusco/Country Club,Coyoacan
San Juan,Benito Juarez
San Miguel Chapultepec,Cuauhtemoc
San Pedro De Los Pinos,Miguel Hidalgo
San Rafael,Cuauhtemoc
San Simon Ticumac,Benito Juarez
San Simon Tolnahuac,Cuauhtemoc
Santa Cruz Atoyac,Benito Juarez
Santa MarÃ­a La Ribera,Cuauhtemoc
Tabacalera,Cuauhtemoc
Tlacoquemecatl,Benito Juarez
Tlateloco,Cuauhtemoc
Transito,Cuauhtemoc
Vertiz Narvarte,Benito Juarez
Xoco,Benito Juarez
Zona Rosa,Cuauhtemoc
